Metodas;Dydis;Reiksme;Laikas
Ga;1;1;0,0006277
Gb;1;1;0,0029255
Ga;2;2;0,0000027
Gb;2;2;0,0000326
Ga;3;3;0,0000046
Gb;3;3;0,0000234
Ga;4;4;0,0000030
Gb;4;4;0,0000232
Ga;5;5;0,0000025
Gb;5;5;0,0000243
Ga;6;6;0,0000027
Gb;6;6;0,0000228
Ga;7;7;0,0000033
Gb;7;7;0,0000228
Ga;8;8;0,0000048
Gb;8;8;0,0000232
Ga;9;9;0,0000072
Gb;9;9;0,0000258
Ga;10;10;0,0000125
Gb;10;10;0,0000327
Ga;11;11;0,0000220
Gb;11;11;0,0000518
Ga;12;12;0,0000417
Gb;12;12;0,0000690
Ga;13;13;0,0001167
Gb;13;13;0,0001224
Ga;14;14;0,0002511
Gb;14;14;0,0001291
Ga;15;15;0,0004085
Gb;15;15;0,0003713
Ga;16;16;0,0006920
Gb;16;16;0,0004320
Ga;17;17;0,0013265
Gb;17;17;0,0013437
Ga;18;18;0,0029934
Gb;18;18;0,0013489
Ga;19;19;0,0048872
Gb;19;19;0,0052845
Ga;20;20;0,0104747
Gb;20;20;0,0051174
Ga;21;21;0,0194675
Gb;21;21;0,0102002
Ga;22;22;0,0389107
Gb;22;22;0,0277248
Ga;23;23;0,0805330
Gb;23;23;0,0428140
Ga;24;24;0,1578309
Gb;24;24;0,1144625
Ga;25;25;0,3159320
Gb;25;25;0,1672607
Ga;26;26;0,6272104
Gb;26;26;0,3262410
Ga;27;27;1,2564906
Gb;27;27;0,6473677
Ga;28;28;2,5057095
Gb;28;28;1,3028590
Ga;29;29;5,0015326
Gb;29;29;2,6152108
Ga;30;30;10,0068392
Gb;30;30;5,2476262
Ga;31;31;19,9722338
Gb;31;31;10,3447058
Ga;32;32;39,9274609
Gb;32;32;20,6962139
Ga;33;33;1,19,8342955
Gb;33;33;41,3131244
