Metodas;Dydis;Reiksme;Laikas
Ga;1;1;00:00:00.0006277
Gb;1;1;00:00:00.0029255
Ga;2;2;00:00:00.0000027
Gb;2;2;00:00:00.0000326
Ga;3;3;00:00:00.0000046
Gb;3;3;00:00:00.0000234
Ga;4;4;00:00:00.0000030
Gb;4;4;00:00:00.0000232
Ga;5;5;00:00:00.0000025
Gb;5;5;00:00:00.0000243
Ga;6;6;00:00:00.0000027
Gb;6;6;00:00:00.0000228
Ga;7;7;00:00:00.0000033
Gb;7;7;00:00:00.0000228
Ga;8;8;00:00:00.0000048
Gb;8;8;00:00:00.0000232
Ga;9;9;00:00:00.0000072
Gb;9;9;00:00:00.0000258
Ga;10;10;00:00:00.0000125
Gb;10;10;00:00:00.0000327
Ga;11;11;00:00:00.0000220
Gb;11;11;00:00:00.0000518
Ga;12;12;00:00:00.0000417
Gb;12;12;00:00:00.0000690
Ga;13;13;00:00:00.0001167
Gb;13;13;00:00:00.0001224
Ga;14;14;00:00:00.0002511
Gb;14;14;00:00:00.0001291
Ga;15;15;00:00:00.0004085
Gb;15;15;00:00:00.0003713
Ga;16;16;00:00:00.0006920
Gb;16;16;00:00:00.0004320
Ga;17;17;00:00:00.0013265
Gb;17;17;00:00:00.0013437
Ga;18;18;00:00:00.0029934
Gb;18;18;00:00:00.0013489
Ga;19;19;00:00:00.0048872
Gb;19;19;00:00:00.0052845
Ga;20;20;00:00:00.0104747
Gb;20;20;00:00:00.0051174
Ga;21;21;00:00:00.0194675
Gb;21;21;00:00:00.0102002
Ga;22;22;00:00:00.0389107
Gb;22;22;00:00:00.0277248
Ga;23;23;00:00:00.0805330
Gb;23;23;00:00:00.0428140
Ga;24;24;00:00:00.1578309
Gb;24;24;00:00:00.1144625
Ga;25;25;00:00:00.3159320
Gb;25;25;00:00:00.1672607
Ga;26;26;00:00:00.6272104
Gb;26;26;00:00:00.3262410
Ga;27;27;00:00:01.2564906
Gb;27;27;00:00:00.6473677
Ga;28;28;00:00:02.5057095
Gb;28;28;00:00:01.3028590
Ga;29;29;00:00:05.0015326
Gb;29;29;00:00:02.6152108
Ga;30;30;00:00:10.0068392
Gb;30;30;00:00:05.2476262
Ga;31;31;00:00:19.9722338
Gb;31;31;00:00:10.3447058
Ga;32;32;00:00:39.9274609
Gb;32;32;00:00:20.6962139
Ga;33;33;00:01:19.8342955
Gb;33;33;00:00:41.3131244
